What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,What operating system do you use the most?,Which of our sites do you frequent most?
United States of America,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Mobile,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,Objective-C,Windows 7,Stack Overflow
South America,20-24,Web Application Developer,SaaS,Java,JavaScript,N/A,PHP,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,35-39,Other,Mobile,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,40-50,Desktop Application Developer,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,LISP,Windows 7,Stack Overflow
United States of America,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,25-29,Server Programmer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,ActionScript 3.0,Windows 7,Stack Overflow
United States of America,30-34,IT Staff / System Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Desktop Application Developer,Other,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,"prolog, lua",Linux,Stack Overflow
Africa,< 20,Student,Other,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Programmers Stack Exchange
United Kingdom,40-50,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,C#,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
Middle East,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,html,Mac OS X,Stack Overflow
Canada,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,35-39,Embedded Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ColdFusion,Windows 7,Super User
United States of America,40-50,Manager of Developers or Team Leader,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australasia,30-34,Web Application Developer,SaaS,Java,JavaScript,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
South America,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Student,SaaS,Java,JavaScript,N/A,PHP,N/A,Ruby,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Programmers Stack Exchange
Other Europe,35-39,Systems Analyst,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,assembler,Windows XP,Stack Overflow
United Kingdom,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,Scala,Mac OS X,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,RPG,Windows 7,Stack Overflow
United Kingdom,25-29,Systems Analyst,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VBscript,Mac OS X,Super User
United States of America,40-50,Server Programmer,SaaS,Java,JavaScript,N/A,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United States of America,20-24,Other,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,30-34,Systems Analyst,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United Kingdom,20-24,Other,Other,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,F#,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australasia,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Canada,25-29,Systems Analyst,Other,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,IT Staff / System Administrator,Web Platform,Java,N/A,N/A,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,25-29,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,Other,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Italy,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Canada,30-34,Web Application Developer,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VB.NET,Windows 7,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Mobile,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United Kingdom,30-34,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Desktop Application Developer,Other,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United States of America,35-39,Database Administrator,Web Platform,N/A,N/A,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,Linux,Programmers Stack Exchange
United States of America,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,C++,C,Perl,N/A,Objective-C,Mac OS X,Stack Overflow
Mexico,20-24,Web Application Developer,Web Platform,Java,N/A,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,< 20,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,40-50,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,C,N/A,N/A,scala,Mac OS X,Stack Overflow
Australasia,35-39,Other,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australia,25-29,IT Staff / System Administrator,Enterprise,N/A,JavaScript,N/A,N/A,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Other,Other,Java,N/A,N/A,PHP,Python,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Desktop Application Developer,Other,N/A,JavaScript,CSS,N/A,Python,Ruby,N/A,N/A,C++,C,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
Other Europe,20-24,Web Application Developer,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,C#,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Other,Enterprise,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,Mac OS X,Super User
United States of America,30-34,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,Windows 7,Super User
United States of America,25-29,Web Application Developer,Enterprise,Java,N/A,N/A,N/A,Python,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Middle East,30-34,Other,Mobile,Java,JavaScript,N/A,N/A,Python,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,N/A,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,35-39,Server Programmer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Other,Web Platform,Java,JavaScript,CSS,N/A,Python,Ruby,N/A,N/A,C++,C,Perl,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,None
Germany,20-24,Desktop Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,Other,Java,N/A,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Australia,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,Visual Basic .NET,Windows 7,Programmers Stack Exchange
United States of America,30-34,Other,Other,N/A,JavaScript,CSS,N/A,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,Common Lisp,Linux,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,Python,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,Windows 7,N/A
Other Europe,< 20,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Other
Australia,25-29,Systems Analyst,Other,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,vb,Windows 7,Stack Overflow
United States of America,30-34,Other,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,R,Windows XP,Stack Overflow
Germany,25-29,Other,Web Platform,Java,JavaScript,CSS,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Other Europe,30-34,Web Application Developer,Other,Java,N/A,CSS,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Netherlands,< 20,Student,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,"Objective-C, Cocoa",Mac OS X,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Italy,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Meta Stack Overflow
United States of America,20-24,Student,Other,Java,N/A,N/A,PHP,Python,Ruby,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Middle East,< 20,Student,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,N/A,Mac OS X,Super User
Australasia,< 20,Student,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Italy,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Italy,40-50,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows Vista,Server Fault
Germany,25-29,Embedded Application Developer,Mobile,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,30-34,Server Programmer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,40-50,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,VB.Net,Windows 7,Stack Overflow
France,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,vb.net,Windows XP,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,C++,C,Perl,N/A,Tcl,Linux,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Russia,25-29,IT Staff / System Administrator,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lotusscript,Linux,Stack Overflow
Other Asia,30-34,Manager of Developers or Team Leader,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Mexico,30-34,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
France,40-50,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows Vista,Stack Overflow
India,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,Ruby,SQL,C#,C++,C,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,20-24,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
Middle East,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Embedded Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,C#,C++,C,Perl,N/A,"bash, tcl",Windows XP,Stack Overflow
United States of America,30-34,Server Programmer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Programmers Stack Exchange
Italy,30-34,Embedded Application Developer,Mobile,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,"Assembler, BASIC",Windows 7,Programmers Stack Exchange
Germany,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,35-39,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,30-34,Manager of Developers or Team Leader,Web Platform,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Italy,25-29,Student,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,SaaS,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,25-29,Web Application Developer,Web Platform,Java,N/A,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Server Programmer,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,SQL,C#,C++,C,Perl,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Embedded Application Developer,Enterprise,N/A,N/A,CSS,N/A,Python,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Manager of Developers or Team Leader,Enterprise,N/A,N/A,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
South America,30-34,Embedded Application Developer,Mobile,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,Objective-C,Mac OS X,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Server Fault
Other Europe,25-29,Server Programmer,Other,N/A,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,51-60,Server Programmer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,Windows XP,Stack Overflow
United Kingdom,35-39,Web Application Developer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Other
United States of America,25-29,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,SaaS,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Linux,Other
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Mexico,20-24,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,40-50,Systems Analyst,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,N/A,N/A,N/A,"lisp,scheme,clojure,bash",Linux,Stack Overflow
Russia,20-24,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,Server Programmer,Web Platform,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AS3,Linux,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Other,Java,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,40-50,Other,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"bash, BASIC",Linux,Server Fault
United Kingdom,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,Ruby,SQL,N/A,N/A,N/A,N/A,N/A,Haskell,Mac OS X,Stack Overflow
France,25-29,Web Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,40-50,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,ActionScript,Mac OS X,Stack Overflow
Other Europe,30-34,Web Application Developer,SaaS,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,"F#, Haskell",Windows Vista,Stack Overflow
South America,20-24,Desktop Application Developer,Enterprise,N/A,N/A,CSS,N/A,Python,N/A,N/A,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,20-24,Desktop Application Developer,Enterprise,Java,JavaScript,N/A,PHP,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
Other Europe,30-34,Embedded Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Windows XP,Stack Overflow
