What Country or Region do you live in?,How old are you?,Which of the following best describes your occupation?,What type of project are you developing?,Which languages are you proficient in?,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Which desktop operating system do you use the most?,Which of our sites do you frequent most?
India,25-29,Web Application Developer,Enterprise,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,25-29,IT Staff / System Administrator,Enterprise,N/A,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,N/A,N/A,C,Perl,HTML5,N/A,N/A,Linux,Server Fault
India,25-29,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Other,Mobile,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,25-29,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,35-39,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,Ruby,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Other,Other,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,"R, LaTeX",Windows 7,Other Stack Exchange (please specify)
India,20-24,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Africa,25-29,Embedded Application Developer,Other,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Other Stack Exchange (please specify)
India,25-29,Other,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,C++,C,N/A,HTML5,N/A,NASM,Linux,Stack Overflow
Canada,30-34,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
India,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
India,25-29,Desktop Application Developer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,30-34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,30-34,Database Administrator,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,VB.NET,Windows XP,Stack Overflow
Other Asia,25-29,Server Programmer,Mobile,Java,JavaScript,N/A,N/A,Python,N/A,Ruby,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,N/A
North America (Other),20-24,Embedded Application Developer,Mobile,Java,JavaScript,N/A,PHP,Python,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australia,< 20,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,Python,Objective-C,N/A,SQL,N/A,C++,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canada,35-39,"Executive (VP of Eng, CTO, CIO, etc.)",Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,< 20,"Executive (VP of Eng, CTO, CIO, etc.)",Web Platform,Java,N/A,N/A,N/A,Python,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,20-24,Manager of Developers or Team Leader,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Asia,20-24,Desktop Application Developer,Other,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,Action Script (Flex dev),Windows 7,Stack Overflow
India,25-29,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,Bash,Windows XP,N/A
United States of America,20-24,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,Python,N/A,N/A,N/A,C#,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,< 20,Student,None / Unemployed,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Web Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Australasia,25-29,Web Application Developer,SaaS,Java,N/A,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Other,Stack Overflow
United States of America,20-24,Systems Analyst,Web Platform,Java,N/A,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,Perl,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,25-29,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Perl,N/A,N/A,N/A,Mac OS X,Server Fault
United States of America,20-24,Server Programmer,Enterprise,Java,JavaScript,CSS,N/A,Python,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,40-50,IT Manager,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Server Programmer,Web Platform,Java,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Asia,< 20,Student,None / Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Europe,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Australasia,35-39,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,Delphi,Mac OS X,Stack Overflow
United States of America,51-60,"Executive (VP of Eng, CTO, CIO, etc.)",SaaS,N/A,N/A,N/A,N/A,Python,N/A,N/A,SQL,N/A,N/A,C,N/A,HTML5,N/A,Omnis Studio,Mac OS X,Stack Overflow
United Kingdom,20-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Enterprise,Java,JavaScript,N/A,N/A,Python,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Other,Mobile,Java,JavaScript,N/A,N/A,Python,N/A,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,25-29,Web Application Developer,None / Unemployed,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Server Programmer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,25-29,Student,Other,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Other Stack Exchange (please specify)
United States of America,20-24,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Super User
United States of America,30-34,Web Application Developer,Web Platform,Java,JavaScript,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C,Perl,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,PHP,N/A,N/A,Ruby,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,N/A
United States of America,30-34,Web Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Server Fault
South America,25-29,Web Application Developer,Web Platform,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,I don't work in tech,Mobile,N/A,JavaScript,CSS,PHP,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Other,None / Unemployed,Java,JavaScript,CSS,PHP,Python,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,30-34,Database Administrator,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Web Platform,Java,N/A,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Other Stack Exchange (please specify)
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,IT Staff / System Administrator,Web Platform,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,40-50,Web Application Developer,Enterprise,N/A,N/A,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,Perl,N/A,N/A,N/A,Windows 7,Programmers Stack Exchange
Canada,20-24,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,30-34,Manager of Developers or Team Leader,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Netherlands,30-34,Server Programmer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,C,Perl,HTML5,N/A,N/A,Windows Vista,Stack Overflow
Russia,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",SaaS,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,N/A,N/A,N/A,scala r,Windows 7,Other Stack Exchange (please specify)
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,HTML5,N/A,Actionscript,Mac OS X,Stack Overflow
United States of America,51-60,Web Application Developer,Web Platform,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,CFML,Windows Vista,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,< 20,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,Ruby,SQL,C#,C++,C,Perl,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,20-24,Student,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,N/A
Germany,20-24,Desktop Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,xhtml,Windows 7,Stack Overflow
Other Europe,20-24,I don't work in tech,None / Unemployed,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,N/A
Canada,>60,Other,Other,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,N/A,N/A,Other,N/A
South America,20-24,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
South America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Africa,< 20,Student,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Embedded Application Developer,Mobile,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
Other Europe,20-24,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Middle East,< 20,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,35-39,Web Application Developer,Web Platform,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
North America (Other),35-39,Embedded Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Web Application Developer,Mobile,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,25-29,Server Programmer,Enterprise,N/A,N/A,N/A,N/A,Python,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,"scala, haskell",Mac OS X,Stack Overflow
Australia,40-50,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Web Application Developer,Other,Java,JavaScript,CSS,N/A,N/A,Objective-C,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,20-24,Desktop Application Developer,Enterprise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Other Stack Exchange (please specify)
United States of America,30-34,Manager of Developers or Team Leader,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,20-24,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
United States of America,35-39,Server Programmer,Enterprise,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,C,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Web Application Developer,Web Platform,N/A,JavaScript,N/A,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Desktop Application Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Other Europe,25-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,Web Application Developer,Web Platform,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,actionscript,Windows 7,Stack Overflow
Other Europe,30-34,Other,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,20-24,Kernel / Driver Developer,Mobile,N/A,N/A,N/A,N/A,Python,Objective-C,N/A,N/A,N/A,C++,C,N/A,HTML5,N/A,Assembler (ARM),Mac OS X,Stack Overflow
South America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,Python,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Germany,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,N/A,Python,Objective-C,N/A,SQL,N/A,C++,C,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,30-34,Server Programmer,Mobile,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,25-29,Manager of Developers or Team Leader,Web Platform,N/A,N/A,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United Kingdom,30-34,Server Programmer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows XP,Stack Overflow
United States of America,< 20,Student,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Database Administrator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,< 20,Kernel / Driver Developer,Enterprise,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,C,N/A,N/A,N/A,x86 assembly,Other,Stack Overflow
United States of America,30-34,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,N/A,Objective-C,Ruby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Other,N/A,N/A,N/A,PHP,N/A,N/A,N/A,N/A,N/A,C++,N/A,N/A,N/A,N/A,lua,Linux,Stack Overflow
France,25-29,Student,Enterprise,N/A,N/A,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,shell,Linux,Stack Overflow
United States of America,20-24,Web Application Developer,Other,Java,JavaScript,CSS,N/A,N/A,N/A,Ruby,SQL,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Windows XP,Stack Overflow
United States of America,< 20,Desktop Application Developer,Other,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,Lua,Windows 7,Stack Overflow
Other Europe,40-50,Server Programmer,Other,Java,N/A,N/A,N/A,N/A,N/A,Ruby,N/A,N/A,C++,C,Perl,N/A,N/A,N/A,Mac OS X,Stack Overflow
United States of America,30-34,Other,Enterprise,Java,JavaScript,CSS,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,30-34,Desktop Application Developer,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
Russia,20-24,Desktop Application Developer,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Canada,20-24,Kernel / Driver Developer,Enterprise,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,20-24,Desktop Application Developer,Other,Java,JavaScript,CSS,PHP,Python,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
India,25-29,Web Application Developer,Enterprise,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
France,25-29,Web Application Developer,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,40-50,Web Application Developer,Web Platform,N/A,JavaScript,N/A,N/A,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Other,Stack Overflow
United States of America,30-34,Desktop Application Developer,Mobile,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,N/A,"Erlang, Object Pascal, Scheme, Common Lisp, HTML4 ;-)",Mac OS X,Stack Overflow
United States of America,< 20,Embedded Application Developer,Mobile,Java,N/A,N/A,N/A,Python,N/A,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
United States of America,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,25-29,"Executive (VP of Eng, CTO, CIO, etc.)",Mobile,Java,JavaScript,CSS,PHP,N/A,Objective-C,N/A,SQL,C#,C++,C,Perl,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Web Application Developer,Enterprise,Java,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,N/A,C++,N/A,N/A,N/A,N/A,N/A,Mac OS X,Stack Overflow
Other Europe,25-29,Desktop Application Developer,Enterprise,Java,N/A,N/A,PHP,N/A,N/A,N/A,SQL,N/A,C++,C,Perl,N/A,N/A,N/A,Linux,Stack Overflow
United Kingdom,51-60,Other,Other,N/A,JavaScript,CSS,N/A,Python,N/A,Ruby,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Mac OS X,Stack Overflow
Australia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other Asia,25-29,Embedded Application Developer,Mobile,Java,JavaScript,N/A,N/A,N/A,Objective-C,N/A,SQL,N/A,C++,C,N/A,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,Objective-C,Ruby,SQL,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Other Europe,30-34,Student,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States of America,20-24,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SQL,N/A,N/A,C,Perl,N/A,N/A,N/A,Linux,Stack Overflow
United States of America,35-39,Manager of Developers or Team Leader,Web Platform,Java,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,C++,N/A,N/A,HTML5,N/A,N/A,Windows 7,N/A
United States of America,25-29,Web Application Developer,SaaS,N/A,JavaScript,CSS,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,N/A,Windows 7,Stack Overflow
Germany,25-29,Web Application Developer,Web Platform,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HTML5,N/A,N/A,Linux,Stack Overflow
North America (Other),25-29,Web Application Developer,Other,N/A,N/A,CSS,PHP,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,HTML5,N/A,"Visual Basic, ASP",Windows 7,Stack Overflow
Other Europe,25-29,Student,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,None
United States of America,40-50,Other,Mobile,N/A,N/A,N/A,N/A,N/A,Objective-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,None
United States of America,25-29,Desktop Application Developer,Enterprise,N/A,JavaScript,CSS,PHP,N/A,N/A,N/A,SQL,C#,N/A,N/A,N/A,N/A,N/A,N/A,Windows 7,Stack Overflow
